hale	 adj.  健壮的， 矍铄的
sentient	 adj.  有感觉能力的； 意识到的
inscribe	 v.  写、 题写
rapt	 adj.  入迷的， 全神贯注的
institutionalized	 adj.  制度化的
aerate	 v.  充气， 让空气进入
genre	 n.  类型， 体裁
infuriate	 v.  使恼怒， 激怒
tined	 adj.  尖端的
cacophonous	 adj.  发音不和谐的， 不协调的
renal	 n.  肾脏的， 肾的
forgery	 n.  伪造
plunge	 v.  跳进， 陷入； 俯冲
skeptical	 adj.  怀疑的； 多疑的
pontifical	 adj.  教皇的； 自负的； 武断的
burgeon	 v.  迅速成长， 发展
opacity	 n.  不透明性； 晦涩
naive	 adj.  天真的， 纯朴的
gape	 v.  裂开； 目瞪口呆地凝视
byzantine	 adj.  错综复杂的
expenditure	 n.  花费， 支出； 支出额
hobble	 v.  蹒跚； 跛行
devotional	 adj.  献身的， 虔诚的
scare	 n&v.  惊吓， 受惊， 惊恐
congenial	 adj.  意气相投的， 趣味相投的； 性情好的； 适意的
schism	 n.  教会分裂； 分裂
woe	 n.  悲痛， 悲哀； 不幸， 灾难
excessively	 adv.  过度地
snare	 n.  圈套， 陷阱
accomplished	 adj.  完成了的； 有技巧的
corroboration	 n.  证实， 支持
woo	 v.  求爱， 求婚； 恳求， 争取
garment	 n.  衣服
specious	 adj.  似是而非的； 华而不实的
terse	 adj.  简洁的， 简明的
voracious	 adj.  狼吞虎咽的， 贪吃的； 贪婪的， 贪得无厌的
caricature	 n.  讽刺画； 滑稽模仿
unconvinced	 adj.  不信服的
muzzy	 adj.  头脑糊涂的
unpredictable	 adj.  不可预知的
snarl	 v. 纠缠，混乱；咆哮，怒骂 n.  纠缠， 混乱； 怒吼声， 咆哮声
inexplicable	 adj.  无法解释的
profound	 adj.  深的； 深刻的， 深远的； 渊博的； 深奥的
horrific	 adj.  可怕的
phantom	 n.  鬼怪， 幽灵； 幻影， 幻象
aspiration	 n.  抱负， 渴望
foible	 n.  小缺点， 小毛病
abeyance	 n.  中止， 搁置
clamber	 v.  吃力地爬上， 攀登
whiff	 n. 一股淡淡的气味
gabby	 adj.  饶舌的， 多嘴的
halcyon	 adj.  平静的； 愉快的； 繁荣的
lamentable	 adj.  令人惋惜的， 悔恨的
augmentation	 n.  增加
antecedence	 n.  居先， 先行
content	 adj. 知足的，满意的 v. 满意；满足 n.  满意； 内容
hover	 v.  翱翔； 徘徊
ploy	 n.  花招， 策略
subterfuge	 n.  诡计， 托辞
alert	 adj. 警惕的，机警的 n.  警报
plot	 v.  密谋， 策划 n. 情节；阴谋
obsolescent	 adj.  逐渐荒废的
prophecy	 n.  预言
prosperity	 n.  繁荣； 幸运
adulatory	 adj.  奉承的
contrary	 adj.  相反的； 对抗的
contend	 v. 竞争， 争夺； 争论， 争辩
covert	 adj.  秘密的， 隐蔽的
thwart	 v.  阻挠， 使受挫折， 挫败
plod	 v. 沉重地走；辛勤工作 n.  艰难行进
splice	 v.  接合， 拼接
crestfallen	 adj.  挫败的， 失望的
conserve	 v.  保存， 保藏
tease	 v. 逗乐，戏弄；强求，强要 n.  逗乐， 戏弄
skimp	 v.  节省花费
fused	 adj.  熔化的
mnemonics	 n.  记忆法， 记忆术
rasp	 v.  发出刺耳的声音； 锉， 刮削
depose	 v.  免职； 宣誓作证
sedate	 adj.  镇静的
limbo	 n.  不稳定的状态， 中间状态
wry	 adj.  扭曲的， 歪曲的； 嘲弄的， 讽刺的
transcription	 n.  誊写， 抄写； 抄本， 副本
exhilarate	 v.  使兴奋， 使高兴； 使振作， 鼓舞
rebarbative	 adj.  令人讨厌的， 冒犯人的
divine	 v.  推测， 预言
capricious	 adj.  变化无常的， 任性的
abhor	 v.  憎恨， 厌恶
authorization	 n.  授权， 认可
foul	 adj. 污秽的，肮脏的；恶臭的；邪恶的 v. 弄脏 n.  犯规
flourish	 v.  繁荣， 兴旺； 活跃而有影响力
intricate	 adj.  错综复杂的； 难懂的
stilted	 adj.  不自然的； 夸张的
ciliate	 adj.  有纤毛的； 有睫毛的
contemplate	 v.  深思； 凝视
context	 n.  上下文
believable	 adj.  可信的
conscript	 v.  征兵， 征召入伍
unbroken	 adj.  完整的； 连续的
dint	 v.  击出凹痕
pundit	 n.  权威人士， 专家
subsistence	 n.  生存， 生计； 存在
dejected	 adj.  沮丧的， 失望的， 灰心的
lingual	 adj.  舌的； 语言的
impartiality	 n.  公平， 公正
rave	 v.  胡言乱语， 说疯语 n. 热切赞扬
announce	 v.  宣布， 发表； 通报…的到来
certification	 n.  证明
additive	 n.  添加剂
habitable	 adj.  可居住的
understated	 adj.  轻描淡写的， 低调的
plaintive	 adj.  哀伤的， 悲伤的
supplement	 v.  增补 n. 增补，补充
halting	 adj.  踌躇的， 迟疑不决的
crafty	 adj.  狡诈的； 灵巧的
brittle	 adj.  易碎的， 脆弱的
affinity	 n.  相互吸引； 密切关系
accrue	 v.  增加； 积累
majestic	 adj.  雄伟的， 庄严的
goggle	 v.  瞪大眼睛看 n. 护目镜
recede	 v.  后退， 撤回
dire	 adj.  可怕的
irreproachable	 adj.  无可指责的， 无瑕疵的
customary	 adj.  合乎习俗的
irreparable	 adj.  不能挽回的， 无法弥补的
profligacy	 n.  放荡； 肆意挥霍
explicable	 adj.  可解释的
delight	 v.  使高兴， 使欣喜 n.  快乐， 高兴， 乐事
proficient	 adj.  熟练的， 精通的
demagogue	 n.  蛊惑民心的政客
sullen	 adj.  忧郁的
impromptu	 adj.  即席的， 即兴的
shilly-shally	 v.  犹豫不决； 虚度时光
stabilize	 v.  使稳定， 使坚固
dilatory	 adj.  慢吞吞的， 磨蹭的
placid	 adj.  安静的， 平和的
solitary	 adj. 孤独的 n.  隐士
swagger	 v.  大摇大摆地走
salve	 v.  减轻， 缓和 n. 药膏
inelastic	 adj.  无弹性的
vengeful	 adj.  渴望复仇的， 复仇心重的
skirt	 v.  绕过， 回避
homogenize	 v.  使均匀
sufficient	 adj.  足够的
overbalance	 v.  使失去平衡
glaze	 v. 上釉于；使光滑 n.  釉
thaw	 v.  解冻， 融化
self-assured	 adj.  有自信的
fasten	 v.  使固定
incertitude	 n.  不确定； 无把握， 怀疑
contest	 v.  竞争； 质疑
tinge	 v.  给…着色； 使略带…气息
turmoil	 n.  混乱， 骚乱
possessed	 adj.  着迷的， 入迷的
rekindle	 v.  再点火； 使重新振作
raze	 v.  夷为平地； 彻底破坏
fiscal	 adj.  国库的； 财政的
gaze	 v. 凝视，注视 n.  凝视， 注视
suggestive	 adj.  暗示的
totalitarian	 adj.  极权主义的
renege	 v.  食言， 违约
inexpensive	 adj.  廉价的， 便宜的
counterproductive	 adj.  事与愿违的
ideology	 n.  思想体系， 思想意识
leeward	 adj.  背风的
self-effacement	 n.  自谦
superfluity	 n.  过剩
storage	 n.  仓库； 贮存
seam	 n.  缝， 接缝
concinnity	 n.  优美； 雅致； 协调
veritable	 adj.  名副其实的， 真正的， 确实的
inestimable	 adj.  无法估计的； 无价的， 极有价值的
whine	 v.  哀号， 号哭
heal	 v.  治愈
candidacy	 n.  候选人资格
roundabout	 adj.  绕道的， 迂回的
rescue	 v. 解救；把…从法律监管下强行夺回 n.  解救
disabuse	 v.  打消错误念头， 使醒悟
regimental	 adj.  团的， 团队的
influx	 n.  注入， 涌入
problematic	 adj.  成问题的； 有疑问的， 值得怀疑的； 未知的， 未解决的
frisk	 v.  欢跃， 嬉戏 n. 欢跃，蹦跳
devastate	 v.  摧毁， 破坏
inimitable	 adj.  无法仿效的
exonerate	 v.  免除责任； 确定无罪
propitiate	 v.  讨好； 抚慰
disaffect	 v.  使不满； 使疏远
disavow	 v.  否认， 否定， 抵赖
maple	 n.  枫树
knit	 v.  编织； 密接， 紧密相联
transmute	 v.  变化
consternation	 n.  大为吃惊， 惊骇
subversive	 adj.  颠覆性的， 破坏性的
readily	 adv.  乐意地； 容易地
oratory	 n.  演讲术
wrest	 v.  扭， 拧； 夺取， 费力取得
downfall	 n.  垮台
suppliant	 adj. 恳求的，哀求的 n.  恳求者， 哀求者
falsehood	 n.  谎言
discipline	 v.  训练， 训导 n. 纪律；惩罚，处分
avaricious	 adj.  贪婪的， 贪心的
burnish	 v.  擦亮， 磨光
revulsion	 n.  厌恶， 憎恶； 剧变
scarlet	 adj.  猩红的， 鲜红的
proclamation	 n.  宣布， 公布
retribution	 n.  报应， 惩罚
foreword	 n.  前言， 序
suspension	 n.  暂停； 悬浮
choke	 v.  窒息， 阻塞
inevitable	 adj.  不可避免的， 必然的
insanity	 n.  疯狂； 愚昧
consciousness	 n.  意识， 观念； 清醒状态； 知觉
blindness	 n.  失明
caudal	 adj.  尾部的， 像尾部的
relapse	 v.  旧病复发； 再度恶化 n. 旧病复发；再度恶化
ultramundane	 adj.  世界之外的； 超俗的
allowance	 n.  津贴， 补助； 承认， 允许
wheedle	 v.  哄骗， 诱骗
hyperbole	 n.  夸张法
adopt	 v.  采纳， 采用； 正式接受， 通过
sear	 v.  烧焦
expire	 v.  期满； 断气， 去世
pastiche	 n.  混合拼凑的作品
oppose	 v.  反对
viral	 adj.  病毒性的
commentary	 n.  实况报道； 集注
impeccable	 adj.  无瑕疵的
serenity	 n.  平静
ignominy	 n.  羞耻， 耻辱
seep	 v.  渗漏
unsubstantiated	 adj.  未经证实的， 无事实根据的
innermost	 adj.  最里面的
ballyhoo	 v.  大肆宣传， 大吹大擂 n. 喧闹，呐喊
covenant	 v.  立书保证 n. 契约
quaff	 v.  痛饮， 畅饮
defunct	 adj.  死亡的
chromatic	 adj.  彩色的， 五彩的
adore	 v.  崇拜； 爱慕
insuperable	 adj.  难以克服的
sibyl	 n.  女预言家， 女先知
accountability	 n.  有责任
pierce	 v.  刺穿； 穿透
underbid	 v.  叫价低于； 要价过低
closet	 adj. 秘密的 n.  壁橱
heed	 v. 注意，留心 n.  注意， 留心
adorn	 v.  装饰
dismantle	 v.  拆除
cement	 v.  黏合， 巩固 n. 水泥；黏合剂
molest	 v.  骚扰， 困扰
scourge	 v.  鞭笞； 磨难 n. 鞭笞；磨难
pittance	 n.  微薄的薪俸， 少量的收入； 少量
unearthly	 adj.  奇异的
antibiotic	 adj. 抗菌的 n.  抗生素
separate	 v.  使分开 adj.  不同的； 独自的
stultify	 v.  使显得愚蠢； 使变得无用或无效
relegate	 v.  使降级， 贬谪； 交付， 托付
qualm	 n.  疑惧； 紧张不安
ambiguity	 n.  模棱两可的话； 不明确
opalescence	 n.  乳白光
forgo	 v.  放弃， 抛弃
organism	 n.  生物， 有机体
forested	 adj.  树木丛生的
idiosyncratic	 adj.  特殊物质的， 特殊的， 异质的
untold	 adj.  无数的， 数不清的
anarchy	 n.  无政府； 政治混乱
carnage	 n.  大屠杀， 残杀
recluse	 adj.  隐居的 n. 隐士
scruple	 v.  顾忌 n. 顾忌，迟疑
remarkable	 adj.  值得注意的， 显著的
demystify	 v.  减少…的神秘性
brake	 v.  刹车； 阻止 n. 刹车；阻碍
recess	 n.  壁凹； 休假
forge	 v.  使形成， 达成； 伪造； 锻制， 打铁 n. 铁匠铺
valiant	 adj.  勇敢的， 英勇的
bolster	 v.  支持， 鼓励 n. 枕垫
nutritional	 adj.  营养的， 滋养的
preview	 v.  预演， 预先查看 n. 预演，预展
ingenious	 adj.  聪明的； 善于创造发明的， 心灵手巧的
unheralded	 adj.  未预先通知的， 未预先警告过的
smirch	 v. 弄脏 n.  污点
imprint	 v.  盖印， 刻印
privacy	 n.  隐居， 隐退； 隐私； 秘密
prophesy	 v.  预言
spatter	 v.  洒， 溅
gab	 v.  空谈， 瞎扯； 闲逛， 游荡 n. 饶舌，爱说话
apron	 n.  围裙
gruff	 adj.  粗鲁的， 板着脸孔的； 粗哑的
hearken	 v.  倾听
perpetuate	 v.  使永存
curfew	 n.  宵禁
quail	 v.  畏缩， 发抖， 恐惧
untasted	 adj.  未尝过的， 未体验过的
expeditiously	 adv.  迅速地， 敏捷地
osmosis	 n.  渗透； 潜移默化
cringe	 v.  畏缩； 谄媚
destitute	 adj.  缺乏的； 穷困的
disposed	 adj.  愿意的， 想干的
fusty	 adj.  霉臭的； 陈腐的， 过时的
shriek	 v.  尖叫
slight	 adj. 轻微的，微小的 v. 怠慢，冷落 n.  冒犯他人的行为、 言语等
scads	 n.  许多， 巨额
previous	 adj.  在先的， 以前的
effeminate	 adj.  缺乏勇气的， 柔弱的
zenith	 n.  天顶； 极点
cumbersome	 adj.  笨重的， 难处理的
ceremonious	 adj.  仪式隆重的
daunt	 v.  使胆怯， 使畏缩
belie	 v.  掩饰； 证明为假
effervesce	 v.  冒泡； 热情洋溢
subsidize	 v.  津贴， 资助
jaunty	 adj.  轻松活泼的
truculent	 adj.  残暴的， 凶狠的
accessory	 adj.  附属的， 次要的
machination	 n.  阴谋
foray	 v. 突袭，偷袭；劫掠，掠夺 n.  突袭
scant	 adj.  不足的， 缺乏的
unworldly	 adj.  非世俗的； 精神上的
harpsichord	 n.  键琴
immensity	 n.  巨大的事物； 巨大， 广大， 无限
seminal	 adj.  有创意的
harbinger	 n.  先驱， 先兆
intricacy	 n.  错综复杂
maraud	 v.  抢劫， 掠夺
inconclusive	 adj.  非决定性的； 无定论的
veracity	 n.  真实； 诚实
sluggish	 adj.  缓慢的， 行动迟缓的； 反应慢的
nethermost	 adj.  最低的， 最下面的
susceptible	 adj.  易受影响的， 敏感的
befriend	 v.  以朋友态度对待
dereliction	 n.  遗弃； 玩忽职守的
insight	 n.  洞察力； 洞悉
quiescent	 adj.  不动的， 静止的
assail	 v.  质问； 攻击
timeliness	 n.  及时， 适时
fabric	 n.  纺织品； 结构
fussy	 adj.  爱挑剔的， 难取悦的
gravitate	 v.  被强烈地吸引； 受引力作用而运动
squelch	 v.  压制， 镇压
caprice	 n.  奇思怪想， 反复无常， 任性
periodic	 adj.  周期的， 定期的
recusant	 n.  拒绝服从的人
undemanding	 adj.  不严格的； 要求不高的
sedentary	 adj.  久坐的
star-crossed	 adj.  时运不济的
eminence	 n.  卓越， 显赫， 杰出
virulent	 adj.  剧毒的； 恶毒的
predetermine	 v.  预先注定； 预先决定
sublimate	 v.  升华， 净化
saturate	 v.  浸湿， 浸透； 使大量吸收或充满
judiciousness	 n.  明智
counterfeit	 v. 伪造，仿造 adj.  伪造的， 假冒的
sabotage	 n.  阴谋破坏， 颠覆活动
enrapture	 v.  使狂喜， 使高兴
ulterior	 adj.  较远的， 将来的； 隐秘的， 别有用心的
yielding	 adj.  易弯曲的， 柔软的； 顺从的， 服从的
industrious	 adj.  勤劳的， 勤勉的
suspect	 v. 怀疑 adj.  可疑的 n. 嫌疑犯
transformation	 n.  转化， 转变
enfeeble	 v.  使衰弱
indiscriminately	 adv.  随意地， 任意地
bigot	 n.  顽固盲从者； 偏执者
smudge	 v.  弄脏 n. 污迹，污点
massive	 adj.  巨大的， 厚重的
mingle	 v.  混合
braid	 v. 编织 n.  穗子； 发辫
nucleate	 v. 成核 adj.  有核的
histrionic	 adj.  做作的； 戏剧的
prong	 v. 刺，贯穿 n.  叉子， 尖齿； 齿状物
prone	 adj.  俯卧的； 倾向于…的
exposition	 n.  阐释； 博览会
architectural	 adj.  建筑上的； 建筑学的
unyielding	 adj.  坚定的， 不屈的； 坚硬的， 不能弯曲的
overpowering	 adj.  压倒性的， 不可抗拒的
rebuttal	 n.  反驳， 反证
dolorous	 adj.  悲哀的， 忧伤的
impetus	 n.  推动力； 刺激
indignation	 n.  愤慨， 义愤
barrier	 n.  路障； 障碍
revitalize	 v.  使重新充满活力
discourteous	 adj.  失礼的， 粗鲁的
recalcitrant	 adj.  顽抗的
brace	 v. 支撑，加固 n.  支撑物
stranded	 adj.  搁浅的， 处于困境的
enamored	 adj.  倾心的， 被迷住
delude	 v.  欺骗， 哄骗
sheltered	 adj.  遮蔽的
startle	 v.  使吃惊
tyro	 n.  新手
demotic	 adj.  民众的， 通俗的
igneous	 adj.  火的， 似火的
anatomical	 adj.  解剖学的
reaffirm	 v.  再次确定； 重申
deprecatory	 adj.  不赞成的， 反对的
quash	 v.  镇压； 取消
conifer	 n.  针叶树
fitful	 adj.  间歇的， 不规则的
scale	 n.  鱼鳞； 音阶
scald	 v. 烫伤，烫洗 n.  烫伤
blighted	 adj.  枯萎的
engaging	 adj.  迷人的， 美丽动人的
aggrandize	 v.  增大， 扩张； 吹捧
security	 n.  安全； 保证； 保护
jingoism	 n.  沙文主义， 侵略主义
buck	 v. 反抗，抵制 n.  雄鹿； 雄兔；
surmount	 v.  克服， 战胜； 登上
salient	 adj.  显著的， 突出的
purport	 n.  意义， 涵义， 主旨
feeble	 adj.  虚弱的
neurology	 n.  神经学
undiscovered	 adj.  未被发现的
prose	 n.  散文
obstreperous	 adj.  吵闹的； 难管束的
confidently	 adv.  确信地； 肯定地
garish	 adj.  俗丽的， 过于艳丽的
exultant	 adj.  非常高兴的， 欢跃的， 狂喜的
intent	 adj. 专心的，专注的；热切的，渴望的 n.  目的， 意向
fertilizer	 n.  肥料， 化肥
interrogate	 v.  审问， 审讯
astute	 adj.  机敏的， 精明的
scamp	 v. 草率地做 n.  流氓； 顽皮的家伙
treaty	 n.  条约； 协议
humdrum	 adj.  单调的， 乏味的
emit	 v.  发出
perishing	 adj.  严寒的
anthem	 n.  圣歌； 赞美诗； 国歌
numerous	 adj.  许多的， 很多的
flicker	 v.  闪烁， 摇曳
spacious	 adj.  广阔的， 宽敞的
seismic	 adj.  地震的， 由地震引起的
resemble	 v.  与…相似， 像
encumber	 v.  妨碍， 阻碍
involuntary	 adj.  无意的
stratagem	 n.  谋略， 策略
collusion	 n.  共谋， 勾结
proffer	 v. 奉献，贡献；提议，建议 n.  赠送， 献出
constrict	 v.  约束； 收缩
fluctuate	 v.  波动； 变动
discernible	 adj.  可识别的， 可辨的
squeamish	 adj.  易受惊的； 易恶心的
subtly	 adv.  敏锐地， 巧妙地
audience	 n.  听众， 观众； 读者
full-bodied	 adj.  魁梧的； 浓烈的； 重要的
muck	 n. 污物，污秽
redemptive	 adj.  赎回的， 救赎的， 挽回的
possess	 v.  拥有； 支配， 主宰； 受摆布， 缠住， 迷住
cranky	 adj.  怪癖的； 不稳的
gladiator	 n.  角斗士， 与野兽搏斗者
flaunty	 adj.  炫耀的， 虚华的
devise	 v.  发明， 设计； 图谋； 遗赠给
marrow	 n.  骨髓； 精华， 精髓
sere	 adj.  干枯的， 枯萎的
evacuate	 v.  撤离； 疏散
cellular	 adj.  细胞的； 蜂窝式的
inefficient	 adj.  无效率的； 无能的， 不称职的
placate	 v.  抚慰， 平息
bedraggled	 adj.  弄湿的； 凌乱不堪的
poise	 v. 使平衡 n.  泰然自若， 沉着自信
misery	 n.  悲惨的境遇； 痛苦， 苦恼
hearsay	 n.  谣传， 道听途说
mundane	 adj.  现世的， 世俗的； 平凡的， 普通的
indulgent	 adj.  放纵的， 纵容的
incapacitate	 v.  使无能力， 使不适合
pervert	 v.  使堕落； 滥用； 歪曲
adduce	 v.  给予； 举出
committed	 adj.  尽忠的
stingy	 adj.  吝啬的， 小气的
goldbrick	 v.  逃避责任， 偷懒
subtle	 adj.  微妙的， 精巧的
moralistic	 adj.  道学的， 说教的
winnow	 v.  扬， 簸， 除去
prehistoric	 adj.  史前的
prominence	 n.  突出物； 突出， 显著
epitome	 n.  典型； 梗概
cannily	 adv.  机灵地
panoramic	 adj.  全景的， 全貌的， 概论的
slosh	 v. 溅，泼 n.  泥泞
dominate	 v.  控制， 支配
imitate	 v.  模仿
institution	 n.  机构； 制度
delinquent	 adj.  怠忽职守的
torpid	 adj.  懒散的， 迟钝的
roseate	 adj.  玫瑰色的； 过分乐观的
dapper	 adj.  整洁漂亮的； 动作敏捷的
avert	 v.  避免， 防止； 转移
callous	 adj.  结硬块的； 无情的
lace	 n.  带子； 网眼织物
obstinateness	 n.  固执， 顽固
tractable	 adj.  易处理的， 驯良的
remunerative	 adj.  报酬高的， 有利润的
alienation	 n.  疏远， 离间
sleight	 n.  巧妙手法； 诡计； 灵巧
bouncing	 adj.  活泼的； 健康的
piquant	 adj.  辛辣的， 开胃的； 刺激的
deleterious	 adj.  有害的， 有毒的
sociable	 adj.  好交际的， 合群的； 友善的
obsolete	 adj.  废弃的； 过时的
decomposition	 n.  分解， 腐烂； 崩溃
enfetter	 v.  给…上脚镣； 束缚， 使受制于
disenfranchise	 v.  剥夺…的权利
eloquence	 n.  雄辩， 口才
reaffirmation	 n.  再肯定
inexhaustible	 adj.  用不完的， 无穷无尽的
forlorn	 adj.  孤独的； 凄凉的
connoisseur	 n.  鉴赏家， 行家
inkling	 n.  暗示； 略知， 模糊概念
slanderous	 adj.  诽谤的
mobile	 adj.  易于移动的
retrospective	 adj.  回顾的， 追溯的
rhythmic	 adj.  有节奏的
exhilaration	 n.  高兴， 兴奋
disconsolate	 adj.  闷闷不乐的， 郁郁寡欢的
ethos	 n.  风貌， 气质
untarnished	 adj.  失去光泽的
ulcer	 n.  溃疡； 腐烂物
wade	 v.  涉水； 跋涉
placard	 v.  张贴布告 n. 招贴，布告
slipshod	 adj.  马虎的， 草率的
hamper	 v. 妨碍，阻挠 n.  大篮子
favorable	 adj.  有利的； 赞成的
implant	 v.  植入， 插入； 灌输
wrist	 n.  腕， 腕关节
approach	 v. 接近，靠近；着手处理 n.  方法
overshadow	 v.  使蒙上阴影； 使黯然失色
exaggeration	 n.  夸张
unconscionable	 adj.  无节制的， 过度的， 不合理的
decisive	 adj.  决定性的； 坚定的， 果断的
impuissance	 n.  无力， 虚弱
daredevil	 adj. 胆大的，冒失的 n.  胆大的人， 冒失的人
genteel	 adj.  有教养的， 彬彬有礼的； 冒充上流的， 附庸风雅的
thesis	 n.  论题， 论文
precursor	 n.  先驱， 先兆
bump	 v. 碰撞 n.  碰撞声
cameo	 n.  刻有浮雕的宝石； 生动刻画； 出演
ordain	 v.  任命； 颁发命令
barefaced	 adj.  厚颜无耻的， 公然的
mull	 v. 思考，思索 n.  混乱
sneer	 v.  嘲笑， 鄙视
wage	 v.  开始， 进行
arid	 adj.  干旱的； 枯燥的
explicate	 v.  详细解说
dismiss	 v.  解散； 解雇
interpolate	 v.  插入； 篡改
underlying	 adj.  在下面的； 根本的； 潜在的
abysmal	 adj.  极深的； 糟透的
harshly	 adv.  严酷地， 无情地
captivating	 adj.  吸引人的
install	 v.  安装， 装置； 使就职
ambience	 n.  环境， 气氛
gum	 n.  树胶， 树脂； 橡皮糖， 口香糖
queer	 adj.  奇怪的， 反常的
disputable	 adj.  有争议的
iniquity	 n.  邪恶， 不公正， 不道德
restrict	 v.  限制， 约束
buoy	 v.  支持， 鼓励 n. 浮标；救生圈
upscale	 v.  升高级， 升档
backset	 n.  倒退， 逆流
prolix	 adj.  说话■嗦的， 冗长的
gavel	 n.   槌， 小木槌
hoodwink	 v.  蒙混， 欺骗
hitherto	 adv.  到目前为止
jejune	 adj.  空洞的； 不成熟的
homemade	 adj.  自制的， 家里做的
dominant	 adj.  支配的； 占优势的
heckle	 v.  诘问， 责问
lair	 n.  窝， 巢穴； 躲藏处
jostle	 v.  推挤； 挤开通路
lampoon	 v.  讽刺 n. 讽刺文章
scribble	 v.  乱写， 乱涂
jaded	 adj.  疲惫的； 厌倦的
writ	 n.  令状； 书面命令
pivotal	 adj.  中枢的， 枢轴的； 极其重要的， 关键的
impractical	 adj.  不切实际的
ravel	 v.  使纠缠， 纠结； 拆开， 拆散
disfigure	 v.  损毁…的外形； 使变丑
ingestion	 n.  摄取， 吸收
dicker	 v.  讨价还价
notoriously	 adv.  臭名昭著地
remoteness	 n.  遥远； 偏僻
carouse	 n.  狂饮寻乐
infirm	 adj.  虚弱的
sustained	 adj.  持久的， 持续的
associate	 adj. 联合的 v.  使发生联系， 使联合 n.  合伙人
scrupulous	 adj.  恪守道德规范的； 一丝不苟的
buttress	 v.  支持 n. 拱墙，拱壁
gleam	 v.  发微光， 闪烁 n. 微光，闪光
glean	 v.  拾； 收集
expostulate	 v.  抗议； 告诫
rejoin	 v.  回答， 答辩
charity	 n.  慈善； 施舍
compendium	 n.  简要， 概略
headstrong	 adj.  刚愎自用的
void	 adj. 空的；缺乏的 n.  空隙， 裂缝； 空虚感
ritual	 n.  仪式， 惯例
liability	 n.  责任； 债务
dispense	 v.  分配， 分发
sway	 v. 摇动，摇摆；影响 n.  摇摆
affected	 adj.  不自然的； 假装的
tutor	 v.  辅导， 指导 n. 助教；导师，辅导教师；监护人
resurge	 v.  复活
reconcile	 v.  和解， 调和
annul	 v.  宣告无效； 取消
reciprocate	 v.  回报， 答谢
inveterate	 adj.  积习已深的， 根深蒂固的
stonewall	 v.  拖延议事， 设置障碍
lank	 adj.  细长的； 长、 直且柔软的
irradiate	 v.  照射； 照耀， 照亮
tiff	 n.  口角， 小争吵
procrastinate	 v.  耽搁， 拖延
nuance	 n.  细微差异
threadlike	 adj.  线状的
muse	 v.  沉思， 冥想
combat	 n&v.  搏斗， 战斗 fight between two people, armies)
indulge	 v.  放纵， 纵容； 满足
catastrophe	 n.  突如其来的大灾难
convex	 adj.  凸出的
bust	 n.  半身像
vestment	 n.  官服， 礼服 ； 法衣， 祭袍
contaminate	 v.  弄脏， 污染
torpor	 n.  死气沉沉
imposing	 adj.  给人深刻印象的； 壮丽的， 雄伟的
custodian	 n.  管理员， 监护人
wring	 v.  绞， 拧， 扭
compensatory	 adj.  补偿性的， 报酬的
consecutive	 adj.  连续的
dexterity	 n.  纯熟， 灵巧
encyclopedic	 adj.  广博的， 知识渊博的
encyclopedia	 n.  百科全书
drainage	 n.  排水， 排水系统； 污水
tidy	 adj.  整齐的， 整洁的； 相当好的
indecipherable	 adj.  无法破译的
moderately	 adv.  适度地， 有节制地
macerate	 v.  浸软； 使消瘦
proscribe	 v.  禁止
offbeat	 adj.  不规则的， 不平常的
grieve	 v.  使某人极为悲伤
incidental	 adj.  作为自然结果的， 伴随而来的； 偶然发生的
induct	 v.  使就职； 使入伍
nonsensical	 adj.  无意义的； 荒谬的
oversight	 n.  疏忽， 失察， 勘漏
crook	 v. 使弯曲 n.  钩状物
kaleidoscopic	 adj.  千变万化的
croon	 v.  低声歌唱
miscellany	 n.  混合物
camaraderie	 n.  同志之情， 友情
instate	 v.  任命
chaos	 n.  混乱
overcrowd	 v.  过度拥挤
pigment	 n.  天然色素； 粉状颜料
forecast	 v. 预报，预测 n.  预测
mute	 adj. 沉默的 v. 减弱…的声音 n.  弱音器
deteriorate	 v.  变坏， 恶化
accrete	 v.  逐渐增长； 添加生长； 连生
induce	 v.  诱导； 引起
maleficent	 adj.  有害的； 作恶的， 犯罪的
wane	 v.  减少， 衰落
satirize	 v.  讽刺
baffle	 v.  使困惑， 难倒
reminiscent	 adj.  回忆的； 使人联想的
butt	 v. 用头抵撞，顶撞 n.  粗大的一端； 烟蒂
resign	 v.  委托； 放弃； 辞职
chary	 adj.  小心的， 审慎的
estranged	 adj.  疏远的， 不和的
sophisticated	 adj.  老于世故的； 精密的
chivalrous	 adj.  骑士精神的； 对女人彬彬有礼的
reside	 v.  居住
equivocal	 adj.  模棱两可的； 不明确的， 不确定的
stooge	 n.  配角， 陪衬； 傀儡
hibernate	 v.  冬眠
archaic	 adj.  古老的
chase	 v.  雕镂； 追逐；追捕
incompatible	 adj.  无法和谐共存的， 不相容的
distasteful	 adj.  不愉快的， 讨厌的
defense	 n.  防御， 防护
lard	 v.  使丰富， 使充满
overreach	 v.  做事过头
reprobate	 n. 堕落者，放荡者，行为不检者〔常为幽默用法〕
dissertation	 n.  专题论文
infelicity	 n.  不幸； 不恰当的事物
multifaceted	 adj.  多方面的
lark	 v. 玩乐，嬉耍 n.  玩乐
inclement	 adj.  严酷的； 严厉的
convict	 v. 定罪['kɑːnvIkt] n.  罪犯
self-conscious	 adj.  自觉的； 害羞的， 不自然的
guileless	 adj.  厚道的， 老实的
