ability	 n. 能力，能耐；才能
everyday	 adj. 每天的，日常的 n. 平时；寻常日子
everyone	 pron. 每个人；人人 n. 每个人
everything	 pron. 每件事物；最重要的东西；（有关的）一切；万事
everywhere	 adv. 到处 n. 每个地方
examine	 v. 检查；调查； 检测；考试
example	 n. 例子；榜样 vt. 作为…的例子；为…做出榜样 vi. 举例
excellent	 adj. 卓越的；极好的；杰出的
except	 v. 不计；把…除外 prep. 除…之外 conj. 除了；要不是
excite	 v. 激起；刺激…，使…兴奋
excuse	 n. 借口；理由 v. 原谅；为…申辩；给…免去
exercise	 n. 运动；练习；运用；操练；礼拜；典礼 v. 锻炼；练习；使用；使忙碌；使惊恐
expect	 v. 期望；指望；认为；预料
expensive	 adj. 昂贵的；花钱的
experience	 n. 经验；经历；体验 v. 经验；经历；体验
experiment	 v. 尝试；进行实验 n. 实验，试验；尝试
explain	 v. 说明；解释
express	 v. 表达；快递 adj. 明确的；迅速的；专门的 n. 快车，快递，专使；捷运公司
eye	 n. 眼睛；视力；眼光；见解，观点 v. 注视，看
face	 n. 脸；表面；面子；面容；外观；威信 v. 向；朝
fact	 n. 事实；实际；真相
factory	 n. 工厂；制造厂；代理店
fail	 v. 失败，不及格；破产；缺乏；衰退 n. 不及格
fair	 adj. 公平的；美丽的，白皙的；[气象] 晴朗的 adv. 公平地；直接地；清楚地 v. 转晴 n. 展览会；市集；美人
family	 n. 家庭；亲属；家族；子女；[生]科；语族；[化]族 adj. 家庭的；家族的；适合于全家的
famous	 adj. 著名的；极好的，非常令人满意的
fan	 v. 煽动；刺激；吹拂 n. 迷；风扇；爱好者
fantastic	 adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的 n. 古怪的人
farm	 v. 种田，务农；经营农场 n. 农场；农家；畜牧场
farmer	 n. 农夫，农民
fast	 adj. 快速的，迅速的；紧的，稳固的 adv. 迅速地；紧紧地；彻底地 v. 禁食，斋戒 n. 斋戒；绝食
fat	 adj. 肥的，胖的；油腻的；丰满的 n. 脂肪，肥肉 v. 养肥；在…中加入脂肪
father	 n. 父亲，爸爸；神父；祖先；前辈 v. 发明，创立；当…的父亲
fear	 n. 害怕；恐惧；敬畏；担心 v. 害怕；敬畏；为…担心
February	 n. 二月
feeling	 n. 感觉，触觉；感情，情绪；同情 adj. 有感觉的；有同情心的；富于感情的 v. 感觉；认为（feel的现在分词）；触摸
festival	 n. 节日；庆祝，纪念活动；欢乐 adj. 节日的，喜庆的；快乐的
fetch	 v. 取来；接来；到达；吸引 n. 取得；诡计
fever	 n. 发烧，发热；狂热 vt. 使发烧；使狂热；使患热病 vi. 发烧；狂热；患热病
few	 adj. 很少的；几乎没有的 pron. 很少 n. 很少数
field	 n. 领域；牧场；旷野；战场；运动场 v. 担任场外队员 adj. 扫描场；田赛的；野生的
fifteen	 n. 十五；十五个；十五人组成的橄榄球队 adj. 十五的 num. 十五
fifth	 adj. 第五的；五分之一的 n. 第五；五分之一 num. 第五
fifty	 n. 五十；五十个；编号为50的东西 adj. 五十的；五十个的；众多的
fill	 v. 装满，使充满；满足；堵塞；任职 n. 满足；填满的量；装填物
film	 n. 电影；薄膜；胶卷；轻烟 v. 在…上覆以薄膜；把…拍成电影
final	 adj. 最终的；决定性的；不可更改的 n. 决赛；期末考试；当日报纸的末版
fine	 adj. 好的；优良的；细小的，精美的；健康的；晴朗的 n. 罚款 v. 罚款；澄清 adv. 很好地；精巧地
finger	 n. 手指；指针，指状物 v. 伸出；用手指拨弄
finish	 v. 完成；结束；用完 n. 结束；完美；回味（葡萄酒）
fire	 n. 火；火灾；炮火；炉火；热情；激情；磨难 v. 点燃；解雇；开除；使发光；烧制；激动；放枪
first	 adv. 第一；首先；优先；宁愿 n. 第一；开始；冠军 adj. 第一的；基本的；最早的 num. 第一
fish	 v. 捕鱼，钓鱼；用钩捞取 n. 鱼，鱼类
fisherman	 n. 渔夫；渔人
fit	 v. 安装；使……适应；使……合身；与……相符 adj. 健康的；合适的；恰当的；准备好的 n. 合身；发作；痉挛
five	 n. 五，五个；五美元钞票 num. 五，五个 adj. 五的；五个的
fix	 v. 使固定；修理；安装；准备 n. 困境；方位；贿赂
flag	 v. 标记；衰退；枯萎 n. 标志；旗子
flat	 adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的 adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地 n. 平地；公寓；平面 vt. 使变平；[音乐]使（音调）下降，尤指降半音 vi. 逐渐变平；[音乐]以降调唱（或奏）
floor	 n. 地板，地面；楼层；基底；议员席 v. 铺地板；打倒，击倒；（被困难）难倒
flower	 n. 花；精华；开花植物 v. 成熟，发育；开花；繁荣；旺盛
flu	 n. 流感
fly	 v. 飞；驾驶飞机；飘扬 n. 飞行；苍蝇；两翼昆虫 adj. 敏捷的
follow	 v. 跟随；遵循；追求；密切注意，注视；注意；倾听 n. 跟随；追随
food	 n. 食物；养料
football	 n. 足球，橄榄球 vi. 踢足球；打橄榄球
for	 prep. 为，为了；因为；给；对于；至于；适合于 conj. 因为
force	 n. 力量；武力；军队；魄力 v. 促使，推动；强迫；强加
foreign	 adj. 外国的；外交的；异质的；不相关的
foreigner	 n. 外地人，外国人
forest	 v. 植树于，使成为森林 n. 森林
fork	 n. 叉；餐叉；耙 v. 叉起；使成叉状
form	 n. 形式，形状；形态，外形；方式；表格 v. 构成，组成；排列，组织；产生，塑造
forty	 n. 四十 adj. 四十的；四十个的
forward	 adj. 向前的；早的；迅速的 adv. 向前地；向将来 v. 促进；转寄；运送 n. 前锋
four	 num. 四；四个 adj. 四的；四个的 n. (Four)人名；(西)福尔；(法)富尔
fourteen	 num. 十四；十四个；第十四 n. 十四的记号；十四岁；十四点钟；十五世纪
fourth	 adj. 第四的，第四个的；四分之一的 n. 第四，月的第四日；四分之一 num. 第四
fox	 v. 欺骗；使变酸 n. 狐狸；狡猾的人
free	 adj. 免费的；自由的，不受约束的；[化学] 游离的 v. 使自由，解放；释放 adv. 自由地；免费 n. (Free)人名；(英)弗里
fresh	 adj. 新鲜的；清新的；淡水的；无经验的 n. 开始；新生；泛滥 adv. 刚刚，才；最新地
Friday	 n. 星期五
fridge	 n. 电冰箱
friend	 n. 朋友；助手；赞助者
friendly	 adj. 友好的；亲切的；支持的；融洽的，和睦的 adv. 友善地；温和地 n. (Friendly)人名；(英)弗兰德利
friendship	 n. 友谊；友爱；友善
frog	 n. 青蛙；[铁路] 辙叉；饰扣 v. 捕蛙
front	 n. 前面；正面；前线 v. 面对；朝向；对付 adj. 前面的；正面的 adv. 在前面；向前
fruit	 n. 水果；产物 v. 结果实
full	 adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的 adv. 十分，非常；完全地；整整 v. 把衣服缝得宽大 n. 全部；完整
fun	 n. 乐趣；玩笑；有趣的人或事 adj. 供娱乐用的 vi. 开玩笑
funny	 adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明 n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
future	 n. 未来；前途；期货；将来时 adj. 将来的，未来的
game	 n. 游戏；比赛 adj. 勇敢的 v. 赌博
garden	 n. 花园；菜园 v. 栽培花木
gate	 n. 大门；出入口；门道 v. 给…装大门
general	 adj. 一般的，普通的；综合的；大体的 n. 一般；将军，上将；常规
gentleman	 n. 先生；绅士；有身份的人
geography	 n. 地理；地形
gift	 n. 礼物；天赋；赠品 v. 赋予；向…赠送
giraffe	 n. 长颈鹿
girl	 n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
glad	 adj. 高兴的；乐意的；令人高兴的；灿烂美丽的 vt. 使高兴 n. (Glad)人名；(塞、瑞典)格拉德；(英)格莱德；(法、挪)格拉
glass	 n. 玻璃；玻璃制品；镜子 v. 反映；给某物加玻璃
glove	 n. 手套 vt. 给…戴手套
goat	 n. 山羊；替罪羊（美俚）；色鬼（美俚）
god	 n. 神；（大写首字母时）上帝 vt. 膜拜，崇拜
goal	 n. 目标；球门，得分数；终点 vi. 攻门，射门得分
gold	 n. 金，黄金；金色；金币 adj. 金的，金制的；金色的
golden	 adj. 金色的，黄金般的；珍贵的；金制的 n. (Golden)人名；(英、法、罗、德、瑞典)戈尔登
government	 n. 政府；政体；管辖
grade	 n. 年级；等级；成绩；级别；阶段 v. 评分；把…分等级
grammar	 n. 语法；语法书
grandchild	 n. 孙子；孙女；外孙；外孙女
granddaughter	 n. 孙女；外孙女
grandparent	 n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
grandson	 n. 孙子；外孙
granny	 n. 奶奶；外婆；婆婆妈妈的人
grape	 n. 葡萄；葡萄酒；葡萄树；葡萄色
grass	 n. 草；草地，草坪 v. 放牧；使……长满草；使……吃草
great	 adj. 伟大的，重大的；极好的，好的；主要的 n. 大师；大人物；伟人们
green	 adj. 绿色的；青春的 n. 绿色；青春 v. 使…变绿色
greeting	 n. 问候，招呼；祝贺 v. 致敬，欢迎（greet的现在分词）
ground	 n. 地面；土地；范围；战场;根据 v. 使接触地面；打基础；使搁浅 adj. 土地的；地面上的；磨碎的；磨过的
group	 n. 组；团体 adj. 群的；团体的 v. 聚合
guard	 n. 守卫；警戒；护卫队；防护装置 v. 警惕
guess	 v. 猜测；认为；推测；猜中 n. 猜测；推测
guest	 n. 客人，宾客；顾客 v. 款待，招待 adj. 客人的；特邀的，客座的
gun	 n. 枪支；枪状物；持枪歹徒 v. 用枪射击；加大油门快速前进
gym	 n. 健身房；体育；体育馆
hair	 n. 头发；毛发；些微 vt. 除去…的毛发 vi. 生长毛发；形成毛状纤维 adj. 毛发的；护理毛发的；用毛发制成的
half	 n. 一半；半场；半学年 adv. 一半地；部分地 adj. 一半的；不完全的；半途的
hall	 n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
ham	 n. 火腿；业余无线电爱好者；蹩脚演员 v. 表演过火 adj. 过火的；做作的
hamburger	 n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
hand	 n. 手，手艺；帮助；指针；插手 v. 传递，交给；支持；搀扶
handbag	 n. 手提包
handsome	 adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
happen	 v. 发生；碰巧；偶然遇到
happy	 adj. 幸福的；高兴的；巧妙的 n. (Happy)人名；(英、瑞典、喀)哈皮
hard	 adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的 adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地 n. (Hard)人名；(英、芬、瑞典)哈德
hardly	 adv. 几乎不，简直不；刚刚
hat	 n. 帽子 v. 给……戴上帽子
hate	 v. 憎恨；厌恶；遗憾 n. 憎恨；反感
he	 n. 男孩，男人；它（雄性动物） pron. 他
head	 n. 头；头痛；上端；最前的部分；理解力 v. 前进；用头顶；作为…的首领；站在…的前头；给…加标题 adj. 头的；主要的；在顶端的
health	 n. 健康；卫生；保健；兴旺
healthy	 adj. 健康的，健全的；有益于健康的
heart	 n. 心脏；感情；勇气；心形；要点 vt. 鼓励；铭记 vi. 结心
heat	 n. 高温；压力；热度；热烈 v. 使激动；把…加热
heaven	 n. 天堂；天空；极乐
heavy	 adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的 n. 重物；严肃角色 adv. 大量地；笨重地
height	 n. 高地；高度；身高；顶点
help	 v. 帮助；促进；治疗；补救 n. 帮助；补救办法；帮忙者；有益的东西
helpful	 adj. 有帮助的；有益的
hen	 n. 母鸡；女人；雌禽
her	 pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船） n. （法）埃尔（人名）
hers	 pron. 她的（所有格） n. (Hers)人名；(法)埃尔
here	 adv. 在这里；此时 int. 嘿！；喂！ n. 这里
herself	 pron. 她自己（she的反身代词）；她亲自
high	 adj. 高的；高级的；崇高的；高音调的 n. 高水平；天空；由麻醉品引起的快感；高压地带 adv. 高；奢侈地
hill	 n. 小山；丘陵；斜坡；山冈
him	 pron. 他（宾格） n. (Him)人名；(东南亚国家华语)欣；(柬)亨；(中)谦(广东话·威妥玛)
himself	 pron. 他自己；他亲自，他本人
his	 pron. 他的 n. (His)人名；(法)伊斯
history	 n. 历史，历史学；历史记录；来历
hobby	 n. 嗜好；业余爱好
holiday	 n. 假日；节日；休息日 v. 外出度假
home	 n. 家，住宅；产地；家乡；避难所 adv. 在家，回家；深入地 adj. 国内的，家庭的；有效的 v. 归巢，回家
hometown	 n. 家乡；故乡
homework	 n. 家庭作业，课外作业
honest	 adj. 诚实的，实在的；可靠的；坦率的
hope	 n. 希望；期望；信心 v. 希望；期望
horse	 n. 马；骑兵；脚架；海洛因 v. 使骑马；系马于；捉弄
hospital	 n. 医院
hot	 adj. 热的；辣的；热情的；激动的；紧迫的 adv. 热；紧迫地 v. 变热 n. (Hot)人名；(塞)霍特；(法)奥特
hotel	 n. 旅馆，饭店；客栈 vt. 使…在饭店下榻 vi. 进行旅馆式办公
hour	 n. 小时；钟头；课时；…点钟
house	 n. 住宅；家庭；机构；议会；某种用途的建筑物 v. 覆盖；给…房子住；把…储藏在房内
housework	 n. 家务事
how	 adv. 如何；多少；多么 n. 方法；方式 conj. 如何
however	 adv. 无论如何；不管怎样（接副词或形容词）；然而；可是 conj. 无论以何种方式; 不管怎样
huge	 adj. 巨大的；庞大的；无限的 n. (Huge)人名；(英)休奇
human	 adj. 人的；人类的 n. 人；人类
hundred	 n. 一百；许多 adj. 一百的；许多的 num. 百；百个
hungry	 adj. 饥饿的；渴望的；荒年的；不毛的
hurry	 n. 匆忙，急忙 v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理
husband	 v. 节约地使用（或管理） n. 丈夫
I	 pron. 我 n. 碘元素；英语字母I
ice	 n. 冰；冰淇淋；矜持；（俚）钻石 v. 冰镇；结冰 adj. 冰的
idea	 n. 想法；主意；概念
if	 conj. （表条件）如果；即使；是否；（表假设）假如 n. 条件；设想
ill	 adj. 生病的；坏的；邪恶的；不吉利的 adv. 不利地；恶劣地；几乎不 n. 疾病；不幸
illness	 n. 病；疾病
imagine	 v. 想像；猜想；臆断
immediately	 adv. 立即，立刻；直接地 conj. 一…就
important	 adj. 重要的，重大的；有地位的；有权力的
improve	 v. 改善，增进；提高…的价值
in	 prep. 按照（表示方式）；从事于；在…之内 adv. 进入；当选；（服装等）时髦；在屋里 adj. 在里面的；时髦的 n. 执政者；门路；知情者
inch	 n. 英寸；身高；少许 v. 使缓慢地移动
include	 v. 包含，包括
increase	 n. 增加，增长；提高 v. 增加，增大；繁殖
India	 n. 印度（南亚国家）
Indian	 adj. 印度的；印第安人的；印第安语的 n. 印度人；印第安人；印第安语
industry	 n. 产业；工业；勤勉
influence	 n. 影响；势力；感化；有影响的人或事 v. 影响；改变
information	 n. 信息，资料；知识；情报；通知
ink	 v. 签署；涂墨水于 n. 墨水，墨汁；油墨
inside	 n. 里面；内部；内情；内脏 adj. 里面的；内部的；秘密的 adv. 在里面 prep. 少于；在…之内
insist	 v. 坚持，强调
instead	 adv. 代替；反而；相反
instruction	 n. 指令，命令；指示；教导；用法说明
intention	 n. 意图；目的；意向；愈合
interest	 n. 兴趣，爱好；利息；趣味；同行 v. 使……感兴趣；引起……的关心；使……参与
interesting	 adj. 有趣的；引起兴趣的，令人关注的
international	 n. 国际组织；国际体育比赛；外国居留者；国际股票 adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的
Internet	 n. 因特网
interview	 n. 接见，采访；面试，面谈 v. 采访；接见；对…进行面谈；对某人进行面试
into	 prep. 到…里；深入…之中；成为…状况；进入到…之内 n. (Into)人名；(芬、英)因托
introduce	 v. 介绍；引进；提出；采用
introduction	 n. 介绍；引进；采用；入门；传入
invent	 v. 发明；创造；虚构
invention	 n. 发明；发明物；虚构；发明才能
invite	 v. 邀请，招待；招致 n. 邀请
iron	 n. 熨斗；烙铁；坚强 v. 熨；用铁铸成 adj. 铁的；残酷的；刚强的
island	 n. 岛；岛屿；安全岛；岛状物 adj. 岛的 vt. 孤立；使成岛状
it	 pron. [指无生命的东西、动物、植物]它；这；那 abbr. 信息技术information technology
its	 pron. 它的 n. (Its)人名；(俄)伊茨
itself	 pron. 它自己；它本身
jacket	 n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹 v. 给…穿夹克；给…装护套；给…包上护封；〈口〉打
January	 n. 一月
Japan	 n. 日本（东亚国家名）
Japanese	 adj. 日本（人）的；日语的 n. 日本人；日语
jeans	 n. 牛仔裤；工装裤
job	 n. 工作；职业 v. 承包；代客买卖
join	 v. 参加；结合；连接 n. 结合；连接；接合点
joke	 n. 玩笑，笑话；笑柄 v. 开…的玩笑
joy	 n. 欢乐，快乐；乐趣；高兴 v. 欣喜，欢喜
juice	 n. （水果）汁，液；果汁
jump	 n. 跳跃；暴涨；惊跳 v. 跳跃；使跳跃；跳过；突升
June	 n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
just	 adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要 adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的 n. (Just)人名；(英)贾斯特；(法)朱斯特；(德、匈、波、捷、挪)尤斯特；(西)胡斯特
key	 n. （打字机等的）键；关键；钥匙 v. 键入；锁上；调节…的音调；提供线索 adj. 关键的
keyboard	 n. 键盘 v. 键入；用键盘式排字机排字
kick	 v. 踢；反冲，朝后座 n. 踢；反冲，后座力
kid	 n. 小孩；小山羊 v. 欺骗；取笑；戏弄 adj. 小山羊皮制的；较年幼的
kill	 v. 杀死；扼杀；使终止；抵消 n. 杀戮；屠杀 adj. 致命的；致死的
kilo	 n. 千克
kilometer	 n. [计量] 公里；[计量] 千米（等于kilometre）
kind	 n. 种类；性质 adj. 和蔼的；宽容的；令人感激的
king	 n. 国王；最有势力者；王棋 vi. 统治；做国王 vt. 立…为王 adj. 主要的，最重要的，最大的
kiss	 v. 吻；（风等）轻拂 n. 吻；轻拂
kitchen	 n. 厨房；炊具；炊事人员
kite	 n. 风筝 v. 使用空头支票；像风筝一样飞；轻快地移动
knee	 n. 膝盖，膝 v. 用膝盖碰
knock	 v. 敲；打；敲击 n. 敲；敲打；爆震声
knowledge	 n. 知识，学问；知道，认识；学科
lab	 n. 实验室，研究室
lady	 n. 女士，夫人；小姐；妻子
lake	 n. 湖；深红色颜料；胭脂红 vt. （使）血球溶解 vi. （使）血球溶解
lamb	 n. 羔羊，小羊；羔羊肉 v. 生小羊，产羔羊
lamp	 n. 灯；照射器 vt. 照亮 vi. 发亮
land	 n. 国土；陆地；地面 v. 使…登陆；使…陷于；将…卸下
language	 n. 语言；语言文字；表达能力
large	 adj. 大的；多数的；广博的 adv. 大大地；夸大地 n. 大
last	 n. 末尾，最后；上个；鞋楦（做鞋的模型） adj. 最后的；最近的，最新的；仅剩的；最不可能…的 v. 持续；维持，够用；持久 adv. 最后地；上次，最近；最后一点
late	 adj. 晚的；迟的；已故的；最近的 adv. 晚；迟；最近；在晚期
laugh	 n. 笑；引人发笑的事或人 v. 笑
law	 n. 法律；规律；法治；法学；诉讼；司法界 vi. 起诉；控告 vt. 控告；对…起诉
lay	 v. 躺下；产卵；搁放；放置；铺放；涂，敷 adj. 世俗的；外行的；没有经验的 n. 位置；短诗；花纹方向；叙事诗；性伙伴
lazy	 adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的 n. (Lazy)人名；(德)拉齐
lead	 n. 领导；铅；导线；榜样 v. 领导；致使；引导；指挥 adj. 带头的；最重要的
leader	 n. 领导者；首领；指挥者
leaf	 n. 叶子；（书籍等的）一张；扇页 v. 生叶；翻书页
learn	 v. 学习；得知；认识到
least	 adj. 最小的；最少的（little的最高级） adv. 最小；最少 n. 最小；最少
left	 adj. 左边的；左派的；剩下的 adv. 在左面 n. 左边；左派；激进分子 v. 离开（leave的过去式）
leg	 n. 腿；支柱
lemonade	 n. 柠檬水
lesson	 n. 教训；课 vt. 教训；上课
letter	 n. 信；字母，文字；证书；文学，学问；字面意义 v. 写字母于
level	 n. 水平；标准；水平面 adj. 水平的；平坦的；同高的 v. 瞄准；拉平；变得平坦
library	 n. 图书馆，藏书室；文库
license	 n. 执照，许可证；特许 v. 许可；特许；发许可证给
lie	 v. 躺；说谎；位于；展现 n. 谎言；位置
lift	 v. 举起；提升；鼓舞；空运；抄袭 n. 电梯；举起；起重机；搭车
light	 n. 光；光线；灯；打火机；领悟；浅色；天窗 adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的 v. 点着；变亮；着火 adv. 轻地；清楚地；轻便地
like	 v. 喜欢；想；愿意 prep. 像；如同 adj. 同样的；相似的 n. 爱好；同样的人或物 adv. 可能 conj. 好像
line	 n. 路线，航线；排；绳 v. 排成一行；划线于；以线条标示；使…起皱纹
lion	 n. 狮子；名人；勇猛的人；社交场合的名流
list	 n. [计] 列表；清单；目录 v. 列于表上
listen	 v. 听，倾听；听从，听信 n. 听，倾听
litter	 n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱 v. 乱丢；给…垫褥草；把…弄得乱七八糟
live	 adj. 活的；生动的；实况转播的；精力充沛的 v. 经历；度过 n. (Live)人名；(法)利夫
lively	 adj. 活泼的；生动的；真实的；生气勃勃的 n. (Lively)人名；(英)莱夫利
lock	 v. 锁，锁上；隐藏 n. 锁；水闸；刹车
London	 n. 伦敦
lonely	 adj. 寂寞的；偏僻的 n. 孤独者
long	 n. 长时间；[语] 长音节；（服装的）长尺寸；长裤 adj. 长的；过长的；做多头的；长时间的；冗长的，长音 v. 渴望；热望 adv. 长期地；始终
look	 v. 看；期待；注意；面向；看上去像 n. 看；样子；面容
lot	 n. 份额；许多；命运；阄 adv. （与形容词和副词连用）很，非常；（与动词连用）非常 pron. 大量，许多 v. 分组，把…划分（常与out连用）；把（土地）划分成块
loud	 adj. 大声的，高声的；不断的；喧吵的 adv. 大声地，高声地，响亮地 n. (Loud)人名；(英)劳德
love	 n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物 v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕
lovely	 adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的 n. 美女；可爱的东西
low	 adj. 低的，浅的；卑贱的；粗俗的；消沉的 adv. 低声地；谦卑地，低下地 n. 低；低价；低点；牛叫声 v. 牛叫
luck	 n. 运气；幸运；带来好运的东西 v. 靠运气，走运；凑巧碰上
lucky	 adj. 幸运的；侥幸的
lunch	 n. 午餐 v. 吃午餐；供给午餐
machine	 n. 机械，机器；机构；机械般工作的人 v. 用机器制造
mad	 adj. 疯狂的；发疯的；愚蠢的；着迷的 n. 狂怒
madam	 n. 夫人；女士；鸨母
magazine	 n. 杂志；弹药库；胶卷盒
magic	 n. 巫术；魔法；戏法 adj. 不可思议的；有魔力的；魔术的
mail	 n. 邮件；邮政，邮递；盔甲 v. 邮寄；给…穿盔甲
main	 n. 主要部分，要点；体力；总管道 adj. 主要的，最重要的；全力的
manage	 v. 管理；经营；控制；设法
manager	 n. 经理；管理人员
map	 v. 映射；计划；绘制地图；确定基因在染色体中的位置 n. 地图；示意图；染色体图
March	 n. 三月
mark	 n. 标志；马克；符号；痕迹；分数 v. 作记号
market	 n. 市场；行情；股票市场；市面；集市；销路；商店 v. 在市场上出售
marriage	 n. 结婚；婚姻生活；密切结合，合并
marry	 v. 嫁；娶；与……结婚 n. (Marry)人名；(阿拉伯)马雷；(法)马里
master	 v. 控制；精通；征服 n. 硕士；主人；大师；教师 adj. 主人的；主要的；熟练的
match	 v. 使比赛；使相配；敌得过，比得上；相配；与…竞争 n. 比赛，竞赛；匹配；对手；火柴
math	 n. 数学（等于mathematics）
may	 aux. 可以，能够；可能，也许；祝，愿；会，能
May	 n. 五月
maybe	 adv. 也许；可能；大概 n. 可能性；不确定性
me	 pron. 我（宾格） n. 自我；极端自私的人；自我的一部分
meal	 n. 一餐，一顿饭；膳食 vi. 进餐
meaning	 n. 意义；含义；意图 adj. 意味深长的 v. 意味；意思是（mean的ing形式）
meat	 n. 肉，肉类（食用）
medical	 adj. 医学的；药的；内科的 n. 医生；体格检查
medicine	 n. 药；医学；内科；巫术 v. 用药物治疗；给…用药
meeting	 n. 会议；会见；集会；汇合点 v. 会面；会合（meet的ing形式）
member	 n. 成员；会员；议员
memory	 n. 记忆，记忆力；内存，[计] 存储器；回忆
mend	 v. 修理，修补；改善；修改 n. 好转，改进；修补处
mention	 v. 提到，谈到；提及，论及；说起 n. 提及，说起
menu	 n. 菜单
message	 n. 消息；差使；启示；预言；广告词 v. 报信，报告；[通信] 报文
metal	 n. 金属；合金 v. 以金属覆盖 adj. 金属制的
method	 n. 方法；条理；类函数 adj. 使用体验派表演方法的
middle	 adj. 中间的，中部的；中级的，中等的 n. 中间，中央；腰部
mile	 n. 英里；一英里赛跑；较大的距离
milk	 n. 牛奶；乳状物 v. 榨取；挤…的奶
mind	 n. 理智，精神；意见；智力；记忆力 v. 介意；专心于；照料
mine	 n. 矿，矿藏；矿山，矿井；地雷，水雷 v. 开采，采掘；在…布雷 pron. 我的
minute	 n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录 v. 将…记录下来 adj. 微小的，详细的 [maɪˈnjuːt; US -ˈnuːt; maɪˋnut]
mirror	 n. 镜子；真实的写照；榜样 v. 反射；反映
miss	 n. 女士，小姐，年轻未婚女子
Miss	 n. 女士，小姐，年轻未婚女子
model	 n. 模型；典型；模范；模特儿；样式 v. 模拟；塑造；模仿 adj. 模范的；作模型用的
modern	 adj. 现代的，近代的；时髦的 n. 现代人；有思想的人
moment	 n. 片刻，瞬间，时刻；重要，契机
Monday	 n. 星期一
money	 n. 钱；货币；财富
monitor	 n. 监视器；监听器；监控器；显示屏；班长 v. 监控
monkey	 n. 猴子；顽童 v. 胡闹；捣蛋
month	 n. 月，一个月的时间
moon	 n. 月亮；月球；月光；卫星 v. 闲荡；出神
morning	 n. 早晨；黎明；初期
mother	 n. 母亲；大娘；女修道院院长 v. 生下；养育；像母亲般关怀或照管 adj. 母亲的；出生地的
motorcycle	 n. 摩托车；机动车 v. 骑摩托车
mountain	 n. 山；山脉
mouth	 n. 口，嘴；河口 v. 做作地说，装腔作势地说；喃喃地说出
move	 n. 移动；步骤；迁居；策略 v. 移动；搬家，迁移；离开
movie	 n. 电影；电影院；电影业 adj. 电影的
murder	 v. 谋杀，凶杀 n. 谋杀，凶杀
museum	 n. 博物馆
music	 n. 音乐，乐曲
must	 aux. 必须，一定；可以，应当；很可能 n. 绝对必要的事物；未发酵葡萄汁
my	 pron. 我的 int. 哎呀（表示惊奇等）；喔唷 n. (My)人名；(越)美；(老、柬)米
myself	 pron. 我自己；我亲自；我的正常的健康状况和正常情绪
name	 n. 名称，名字；姓名；名誉 v. 命名，任命；指定；称呼；提名；叫出 adj. 姓名的；据以取名的
national	 adj. 国家的；国民的；民族的；国立的 n. 国民
natural	 adj. 自然的；物质的；天生的；不做作的 n. 自然的事情；白痴；本位音
nature	 n. 自然；性质；本性；种类
near	 adj. 近的；亲近的；近似的 adv. 近；接近 prep. 靠近；近似于
nearly	 adv. 差不多，几乎；密切地
necessary	 adj. 必要的；必需的；必然的 n. 必需品
neck	 n. 脖子；衣领；海峡 v. 搂著脖子亲吻；变狭窄
need	 n. 需要，要求；缺乏；必要之物 v. 需要
neither	 conj. 也不；既不 adv. 两个都不；既不……也不 adj. 两者都不的 pron. 两者都不
nervous	 adj. 神经的；紧张不安的；强健有力的
never	 adv. 从未；决不
new	 adj. 新的，新鲜的；更新的；初见的 adv. 新近 n. (New)人名；(英)纽
